Títulos,Categorias,Preços(£),Avaliações,Estocagem
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Â14.02,Four,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Â46.91,Two,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Â45.61,Three,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,Â19.92,Two,16
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,Â40.11,One,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,Â53.90,Two,16
Join,Science Fiction,Â35.67,Five,16
In the Country We Love: My Family Divided,Nonfiction,Â22.00,Four,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,Â57.36,Five,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Â29.17,Two,16
I am a Hero Omnibus Volume 1,Sequential Art,Â54.63,Three,16
How to Be Miserable: 40 Strategies You Already Use,Self Help,Â46.03,One,16
Her Backup Boyfriend (The Sorensen Family #1),Romance,Â33.97,One,16
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Â22.11,Two,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Â29.69,Three,16
First and First (Five Boroughs #3),Romance,Â15.97,Four,16
Fifty Shades Darker (Fifty Shades #2),Romance,Â21.96,One,16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,Â54.35,Two,16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,Â37.97,Two,16
Danganronpa Volume 1,Sequential Art,Â51.99,Four,16
Crown of Midnight (Throne of Glass #2),Fantasy,Â43.29,Three,16
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,Â36.72,Four,16
Camp Midnight,Sequential Art,Â17.08,Four,16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,Â29.14,Five,16
Burning,Young Adult,Â28.81,Three,16
Bossypants,Default,Â49.46,Two,16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,Â37.92,Two,16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,Â28.09,Two,16
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,Â30.81,One,16
A World of Flavor: Your Gluten Free Passport,Default,Â42.95,One,16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,Â56.76,Five,16
A Murder in Time,Mystery,Â16.64,One,16
A Flight of Arrows (The Pathfinders #2),Historical Fiction,Â55.53,Five,16
A Fierce and Subtle Poison,Young Adult,Â28.13,Four,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,Â52.37,One,16
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,Â54.00,Five,16
You Are What You Love: The Spiritual Power of Habit,Religion,Â21.87,Four,15
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,Â43.30,Four,15
Tuesday Nights in 1980,Fiction,Â21.04,Two,15
Tracing Numbers on a Train,Default,Â41.60,Three,15
Throne of Glass (Throne of Glass #1),Fantasy,Â35.07,Three,15
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,Â59.64,One,15
Thirteen Reasons Why,Default,Â52.72,One,15
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,Â58.08,Four,15
The Wedding Dress,Romance,Â24.12,One,15
The Vacationers,Fiction,Â42.15,Four,15
The Third Wave: An Entrepreneurâs Vision of the Future,Business,Â12.61,Five,15
The Stranger,Philosophy,Â17.44,Four,15
The Shadow Hero (The Shadow Hero),Sequential Art,Â33.14,One,15
The Secret (The Secret #1),Default,Â27.37,Four,15
The Regional Office Is Under Attack!,Fiction,Â51.36,Five,15
The Psychopath Test: A Journey Through the Madness Industry,Default,Â36.00,Two,15
The Project,Science Fiction,Â10.65,One,15
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,Â43.54,Two,15
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,Â38.21,Two,15
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,Â37.34,Five,15
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,Â44.10,Four,15
The Mistake (Off-Campus #2),New Adult,Â43.29,Three,15
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,Â55.85,One,15
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,Â37.60,Two,15
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,Â10.97,One,15
The Kite Runner,Default,Â41.82,Four,15
The House by the Lake,Historical Fiction,Â36.95,One,15
The Glittering Court (The Glittering Court #1),Fantasy,Â44.28,One,15
The Girl on the Train,Default,Â55.02,Two,15
The Genius of Birds,Nonfiction,Â17.24,One,15
The Emerald Mystery,Default,Â23.15,Two,15
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,Â41.25,One,15
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,Â32.00,Three,15
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,Â38.49,Five,15
The Art of War,Default,Â33.34,Five,15
The Argonauts,Autobiography,Â10.93,Two,15
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,Â27.55,Three,15
Suddenly in Love (Lake Haven #1),Romance,Â55.99,Two,15
Something More Than This,Romance,Â16.24,Four,15
Soft Apocalypse,Science Fiction,Â26.12,Two,15
So You've Been Publicly Shamed,Nonfiction,Â12.23,Two,15
Shoe Dog: A Memoir by the Creator of NIKE,Business,Â23.99,Two,15
"Shobu Samurai, Project Aryoku (#3)",Add a comment,Â29.06,Three,15
Secrets and Lace (Fatal Hearts #1),Default,Â20.27,One,15
Scarlett Epstein Hates It Here,Young Adult,Â43.55,Five,15
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,Â36.94,One,15
Redeeming Love,Christian Fiction,Â20.47,Five,15
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,Â41.06,One,15
Poems That Make Grown Women Cry,Poetry,Â14.19,Four,15
"Nightingale, Sing",Young Adult,Â38.28,One,15
Night Sky with Exit Wounds,Poetry,Â41.05,One,15
Mrs. Houdini,Historical Fiction,Â30.25,Five,15
Modern Romance,Add a comment,Â28.26,Five,15
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,Â10.76,One,15
Louisa: The Extraordinary Life of Mrs. Adams,Biography,Â16.85,Two,15
Little Red,Childrens,Â13.47,Three,15
Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,Â48.56,Five,15
Large Print Heart of the Pride,Default,Â19.15,Two,15
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,Â57.36,Four,15
Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,Â42.98,One,15
Grumbles,Default,Â22.16,Two,15
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,Â49.43,Four,15
Frostbite (Vampire Academy #2),Young Adult,Â29.99,Five,15
Follow You Home,Horror,Â21.36,One,15
First Steps for New Christians (Print Edition),Default,Â29.00,One,15
Finders Keepers (Bill Hodges Trilogy #2),Fiction,Â53.53,Five,15
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,Â41.62,Four,15
Eureka Trivia 6.0,Default,Â54.59,Four,15
Drive: The Surprising Truth About What Motivates Us,Default,Â34.95,Four,15
Done Rubbed Out (Reightman & Bailey #1),Default,Â37.72,Five,15
Doing It Over (Most Likely To #1),Romance,Â35.61,Three,15
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,Â42.16,Three,15
Dark Notes,Erotica,Â19.19,Five,15
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,Â19.43,Three,15
Close to You,Christian Fiction,Â49.46,Four,15
Chasing Heaven: What Dying Taught Me About Living,Spirituality,Â37.80,Two,15
Big Magic: Creative Living Beyond Fear,Nonfiction,Â30.80,Three,15
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,Â27.43,Two,15
Beauty Restored (Riley Family Legacy Novellas #3),Default,Â11.11,Two,15
Batman: The Long Halloween (Batman),Sequential Art,Â36.50,Two,15
Batman: The Dark Knight Returns (Batman),Sequential Art,Â15.38,Five,15
Ayumi's Violin,Default,Â15.48,Two,15
Anonymous,Default,Â46.82,Four,15
Amy Meets the Saints and Sages,Default,Â18.46,Three,15
Amid the Chaos,Cultural,Â36.58,One,15
Amatus,Default,Â50.54,Five,15
Agnostic: A Spirited Manifesto,Nonfiction,Â12.51,Five,15
Zealot: The Life and Times of Jesus of Nazareth,History,Â24.70,Three,14
You (You #1),Thriller,Â43.61,Five,14
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,Â37.34,Four,14
Wild Swans,Young Adult,Â14.36,Two,14
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,Â52.65,Four,14
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,Â38.20,Four,14
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,Â19.60,Two,14
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,Â53.90,One,14
Walt Disney's Alice in Wonderland,Childrens,Â12.96,Five,14
V for Vendetta (V for Vendetta Complete),Default,Â37.10,Four,14
Until Friday Night (The Field Party #1),Young Adult,Â46.31,Two,14
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,Â45.95,Two,14
Twenty Yawns,Childrens,Â22.08,Two,14
Through the Woods,Sequential Art,Â25.38,Two,14
This Is Where It Ends,Young Adult,Â27.12,Two,14
The Year of Magical Thinking,Nonfiction,Â43.04,Two,14
The Wright Brothers,Default,Â56.80,Four,14
The White Queen (The Cousins' War #1),Add a comment,Â25.91,Five,14
The Wedding Pact (The O'Malleys #2),Romance,Â32.61,Three,14
The Time Keeper,Fiction,Â27.88,Five,14
The Testament of Mary,Fiction,Â52.67,Four,14
The Star-Touched Queen,Fantasy,Â46.02,Five,14
The Songs of the Gods,Default,Â44.48,Five,14
The Song of Achilles,Add a comment,Â37.40,Five,14
The Rosie Project (Don Tillman #1),Default,Â54.04,One,14
The Power of Habit: Why We Do What We Do in Life and Business,Default,Â16.88,Three,14
The Marriage of Opposites,Historical Fiction,Â28.08,Four,14
The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,Â10.40,One,14
The Long Haul (Diary of a Wimpy Kid #9),Humor,Â44.07,One,14
The Loney,Horror,Â23.40,One,14
The Literature Book (Big Ideas Simply Explained),Nonfiction,Â17.43,Three,14
The Last Mile (Amos Decker #2),Mystery,Â54.21,Two,14
The Immortal Life of Henrietta Lacks,Add a comment,Â40.67,Two,14
The Hidden Oracle (The Trials of Apollo #1),Fantasy,Â52.26,Two,14
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,Â28.77,Three,14
The Guilty (Will Robie #4),Thriller,Â13.82,Two,14
The First Hostage (J.B. Collins #2),Fiction,Â25.85,Three,14
The Dovekeepers,Add a comment,Â48.78,One,14
The Darkest Lie,Young Adult,Â35.35,Five,14
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,Â44.73,Four,14
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Nonfiction,Â15.77,One,14
The 14th Colony (Cotton Malone #11),Thriller,Â39.24,One,14
That Darkness (Gardiner and Renner #1),Mystery,Â13.92,One,14
Tastes Like Fear (DI Marnie Rome #3),Mystery,Â10.69,One,14
Take Me with You,Fiction,Â45.21,Three,14
Swell: A Year of Waves,Nonfiction,Â45.58,One,14
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,Â11.89,Five,14
Still Life with Bread Crumbs,Fiction,Â26.41,Three,14
Steve Jobs,Default,Â39.50,Five,14
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,Â44.74,Four,14
Someone Like You (The Harrisons #2),Contemporary,Â52.79,Five,14
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,Â35.43,Four,14
Shtum,Fiction,Â55.84,Four,14
See America: A Celebration of Our National Parks & Treasured Sites,Travel,Â48.87,Three,14
salt.,Poetry,Â46.78,Four,14
Robin War,Sequential Art,Â47.82,Three,14
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,Â25.48,Two,14
Rain Fish,Childrens,Â23.57,Three,14
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,Â50.89,Five,14
Pet Sematary,Horror,Â10.56,Three,14
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,Â52.15,Three,14
Once Was a Time,Childrens,Â18.28,Two,14
Old School (Diary of a Wimpy Kid #10),Humor,Â11.83,Five,14
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,Â21.95,Two,14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,Â38.39,Two,14
My Name Is Lucy Barton,Fiction,Â41.56,One,14
My Mrs. Brown,Fiction,Â24.48,Three,14
My Kind of Crazy,Young Adult,Â40.36,One,14
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,Â28.90,One,14
More Than Music (Chasing the Dream #1),Add a comment,Â37.61,Two,14
Made to Stick: Why Some Ideas Survive and Others Die,Business,Â38.85,Five,14
Luis Paints the World,Childrens,Â53.95,Three,14
Luckiest Girl Alive,Default,Â49.83,Three,14
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,Â51.51,Two,14
Love Is a Mix Tape (Music #1),Music,Â18.03,One,14
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,Â29.14,Five,14
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,Â46.91,Four,14
Let It Out: A Journey Through Journaling,Nonfiction,Â26.79,Five,14
Lady Midnight (The Dark Artifices #1),Default,Â16.28,Five,14
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,Â19.55,One,14
Island of Dragons (Unwanteds #7),Fantasy,Â29.65,One,14
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,Â25.98,Four,14
I Am Pilgrim (Pilgrim #1),Fiction,Â10.60,Four,14
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,Â14.75,Five,14
"Hush, Hush (Hush, Hush #1)",Default,Â47.02,Three,14
Hold Your Breath (Search and Rescue #1),Romance,Â28.82,One,14
Hamilton: The Revolution,Nonfiction,Â58.79,Three,14
Greek Mythic History,Default,Â10.23,Five,14
God: The Most Unpleasant Character in All Fiction,Religion,Â30.03,Five,14
Glory over Everything: Beyond The Kitchen House,Historical Fiction,Â45.84,Three,14
Feathers: Displays of Brilliant Plumage,Art,Â49.05,Three,14
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,Â15.06,Four,14
Every Last Word,Default,Â46.47,Three,14
Eligible (The Austen Project #4),Fiction,Â27.09,Three,14
El Deafo,Sequential Art,Â57.62,Five,14
Eight Hundred Grapes,Fiction,Â14.39,Four,14
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,Â51.75,Five,14
"Eat Fat, Get Thin",Health,Â54.07,Two,14
Don't Get Caught,Young Adult,Â55.35,One,14
Doctor Sleep (The Shining #2),Horror,Â40.12,Two,14
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,Â37.51,Five,14
Dear Mr. Knightley,Fiction,Â11.21,Five,14
Daily Fantasy Sports,Default,Â36.58,One,14
Crazy Love: Overwhelmed by a Relentless God,Christian,Â47.72,Two,14
Cometh the Hour (The Clifton Chronicles #6),Fiction,Â25.01,Three,14
Code Name Verity (Code Name Verity #1),Add a comment,Â22.13,Four,14
Clockwork Angel (The Infernal Devices #1),Default,Â44.14,One,14
City of Glass (The Mortal Instruments #3),Fantasy,Â56.02,Four,14
City of Fallen Angels (The Mortal Instruments #4),Default,Â11.23,Four,14
City of Bones (The Mortal Instruments #1),Default,Â43.28,One,14
City of Ashes (The Mortal Instruments #2),Default,Â47.27,One,14
Cell,Add a comment,Â20.29,Four,14
Catching Jordan (Hundred Oaks),Young Adult,Â50.83,Three,14
"Carry On, Warrior: Thoughts on Life Unarmed",Default,Â31.85,Three,14
Carrie,Default,Â46.23,Two,14
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,Â37.80,Four,14
Brain on Fire: My Month of Madness,Nonfiction,Â49.32,Five,14
Batman: Europa,Sequential Art,Â32.01,Two,14
Barefoot Contessa Back to Basics,Food and Drink,Â28.01,One,14
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,Â50.62,Five,14
Balloon Animals,Fiction,Â17.03,Three,14
Art Ops Vol. 1,Sequential Art,Â48.80,Three,14
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,Â58.14,Four,14
Angels Walking (Angels Walking #1),Add a comment,Â34.20,Two,14
Angels & Demons (Robert Langdon #1),Default,Â51.48,Three,14
All the Light We Cannot See,Historical,Â29.87,Five,14
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,Â10.90,Two,14
Abstract City,Nonfiction,Â56.37,Five,14
A Time of Torment (Charlie Parker #14),Mystery,Â48.35,Five,14
A Study in Scarlet (Sherlock Holmes #1),Mystery,Â16.73,Two,14
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,Â56.48,Two,14
A People's History of the United States,Add a comment,Â40.79,Two,14
A Man Called Ove,Fiction,Â39.72,One,14
A Distant Mirror: The Calamitous 14th Century,History,Â14.58,Three,14
A Brush of Wings (Angels Walking #3),Add a comment,Â55.51,One,14
1491: New Revelations of the Americas Before Columbus,History,Â21.80,Three,14
"The Three Searches, Meaning, and the Story",Default,Â13.33,Three,13
Searching for Meaning in Gailana,Fantasy,Â38.73,One,13
Rook,Add a comment,Â37.86,Four,13
My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,Â11.53,Two,13
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,Â27.06,One,13
Will You Won't You Want Me?,Womens Fiction,Â13.86,Three,12
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,Â37.55,One,12
The Star-Touched Queen,Fantasy,Â32.30,Five,12
The Silent Sister (Riley MacPherson #1),Fiction,Â46.29,Five,12
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,Â26.20,One,12
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,Â33.26,Two,12
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,Â59.15,Four,12
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,Â39.43,One,12
The Epidemic (The Program 0.6),Young Adult,Â14.44,Five,12
The Dinner Party,Fiction,Â56.54,Two,12
The Diary of a Young Girl,Nonfiction,Â59.90,Three,12
The Children,Add a comment,Â11.88,Three,12
Stars Above (The Lunar Chronicles #4.5),Young Adult,Â48.05,Two,12
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,Â21.21,Three,12
Raspberry Pi Electronics Projects for the Evil Genius,Default,Â49.67,Four,12
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,Â43.14,One,12
Psycho: Sanitarium (Psycho #1.5),Horror,Â36.97,Five,12
Poisonous (Max Revere Novels #3),Mystery,Â26.80,Three,12
One with You (Crossfire #5),Add a comment,Â15.71,Four,12
No Love Allowed (Dodge Cove #1),Young Adult,Â54.65,Four,12
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Â54.36,Four,12
Most Wanted,Mystery,Â35.28,Three,12
"Love, Lies and Spies",Historical Fiction,Â20.55,Two,12
